Device Name,Hostname,SysName,Reset Reason,Config Register,Type,Image Name,IP Address,Software Type,Software Version,Product ID,CBP Alerts,FN Vulnerable Alerts,Hardware EoX Alerts,PSIRT Vulnerable Alerts,Software Alerts
SITE50-2IDF2-94SW-01.net.com,SITE50-2IDF2-94SW-01,SITE50-2IDF2-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.23.14,IOS-XE,17.9.5,C9410R,19,1,1,4,1
SITE58-6TH-94SW-01.net.com,SITE58-6TH-94SW-01,SITE58-6TH-94SW-01.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.158.11,IOS-XE,17.9.5,C9410R,18,2,2,4,1
SITE58-6TH-94SW-02.net.com,SITE58-6TH-94SW-02,SITE58-6TH-94SW-02.net.com,PowerOn,null,Managed Chassis,CAT9K_IOSXE,192.168.158.12,IOS-XE,17.9.5,C9410R,18,2,2,4,1
SITE58-6TH-95SW-01.net.com,SITE58-6TH-95SW-01,SITE58-6TH-95SW-01.workdayinternal.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.158.10,IOS-XE,17.9.5,C9500-24Y4C,17,2,1,4,1
SITE66-19TH-93SW-01.net.com,SITE66-19TH-93SW-01,SITE66-19TH-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.222.16,IOS-XE,17.9.5,C9300-48UXM,16,3,0,5,1
SITE66-20TH-93SW-01.net.com,SITE66-20TH-93SW-01,SITE66-20TH-93SW-01.net.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.222.17,IOS-XE,17.9.5,C9300-48UXM,16,3,0,5,1
SITE06-10th-95sw-01.net.com,SITE06-10TH-95SW-01,SITE06-10TH-95SW-01.workdayinternal.com,Reload Command,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.30.10,IOS-XE,17.9.5,C9500-48Y4C,18,2,1,4,1
SITE31-2nd-94sw-02.net.com,SITE31-2ND-94SW-02,SITE31-2ND-94SW-02.workdayinternal.com,LocalSoft,null,Managed Chassis,CAT9K_IOSXE,192.168.230.154,IOS-XE,17.9.5,C9410R,23,2,2,5,1
SITE68-6th-93sw-01.net.com,SITE68-6TH-MDF-93SW-01,SITE68-6TH-MDF-93SW-01.workdayinternal.com,PowerOn,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.239.11,IOS-XE,17.9.5,C9300-48UXM,21,3,1,5,1
SITE48-3RD-93SW-01.net.com,SITE48-3RD-93SW-01,SITE48-3RD-93SW-01.net.com,Install,null,Managed Multi-Chassis,CAT9K_IOSXE,192.168.15.12,IOS-XE,17.9.5,C9300-48UXM,16,3,0,5,1
SITE35-SW-01.net.com,SITE35-SW-01,SITE35-SW-01.workdayinternal.com,Reload Command,null,Managed Chassis,CAT9K_IOSXE,192.168.1.100,IOS-XE,17.9.5,C9300-48UXM,18,3,0,5,1
